Stock Name,URL,CMP (Rs.),P/E Ratio,Market Cap (Rs. Cr.),Dividend Yield (%),Net Profit (Qtr) (Rs. Cr.),Qtr Profit Var (%),Sales (Qtr) (Rs. Cr.),Qtr Sales Var (%),ROCE (%),Public Holding,Debt to Equity,Profit Prev 12M (Rs. Cr.),Sales Var (5Yrs) (%),Profit Var (5Yrs) (%),Profitability Score
ICICI Bank,/company/ICICIBANK/consolidated/,1343.1,19.29,948794.06,0.74,13846.89,16.56,47037.12,15.1,7.6,9.08,6.08,50084.0,17.25,59.73,-0.09374132586134423
Kotak Mah. Bank,/company/KOTAKBANK/consolidated/,2079.0,21.02,413351.56,0.1,4701.02,10.23,16633.14,14.75,7.86,12.83,3.63,22094.19,13.52,20.42,-0.11196822773985012
Interglobe Aviat,/company/INDIGO/,5044.05,32.09,194913.88,0.0,2442.0,-18.56,22110.7,13.67,24.53,4.69,15.86,6630.3,19.31,101.74,-0.11598419540229886
St Bk of India,/company/SBIN/consolidated/,753.2,8.47,672202.38,1.82,19483.78,17.27,124653.66,10.44,6.16,7.35,12.58,74460.58,11.63,98.73,-0.119189731269296
Nestle India,/company/NESTLEIND/,2268.85,69.73,218752.8,0.75,696.13,-5.28,4779.73,3.9,169.08,16.17,0.09,3322.74,16.65,19.55,-0.11964074118363266
REC Ltd,/company/RECLTD/consolidated/,428.95,7.22,112952.14,3.73,4076.35,23.21,14271.92,18.42,10.05,11.67,6.58,14885.42,13.34,19.77,-0.12015181327999305
Bank of Baroda,/company/BANKBARODA/consolidated/,216.7,5.49,112063.42,3.51,5249.74,8.88,32569.84,8.42,6.33,9.01,11.13,20143.88,17.48,76.82,-0.12495384361728341
I R F C,/company/IRFC/,129.66,25.92,169446.25,1.23,1630.66,1.98,6763.43,0.4,5.73,11.4,7.81,6505.72,19.07,23.25,-0.12548260370917946
Punjab Natl.Bank,/company/PNB/consolidated/,93.14,6.36,107045.27,1.61,4811.02,97.35,31894.8,14.52,5.46,9.91,12.43,14534.67,15.9,24.17,-0.14123246148048296
Titan Company,/company/TITAN/consolidated/,3162.7,86.74,280780.13,0.35,1047.0,-0.57,17740.0,25.25,22.7,17.35,2.22,3243.0,20.9,20.23,-0.14366701816178923
Asian Paints,/company/ASIANPAINT/consolidated/,2300.4,50.6,220653.86,1.45,1128.44,-23.29,8549.44,-6.08,37.5,19.66,0.14,4630.91,13.03,20.52,-0.1512957985461872
HDFC Bank,/company/HDFCBANK/consolidated/,1770.35,19.47,1354657.71,1.1,18340.11,2.31,85040.17,9.01,7.67,16.23,6.44,71546.36,21.95,23.42,-0.1602173653085185
Dr Reddy's Labs,/company/DRREDDY/consolidated/,1200.15,18.68,100147.16,0.67,1404.2,1.69,8381.2,15.81,26.53,23.46,0.16,5425.0,12.64,24.41,-0.1855454651693699
Zomato Ltd,/company/ZOMATO/consolidated/,227.52,331.17,219564.78,0.0,59.0,-57.25,5405.0,64.39,1.14,26.09,0.05,742.0,55.97,16.04,-0.20846899414416373
Bajaj Finserv,/company/BAJAJFINSV/consolidated/,1847.25,34.4,294943.41,0.05,4411.89,3.4,32041.81,10.34,11.72,22.93,4.66,16519.65,20.97,20.42,-0.20915939216709425
Trent,/company/TRENT/consolidated/,5150.05,123.23,183077.82,0.06,496.54,33.97,4656.56,34.33,23.79,26.01,0.39,1809.0,36.3,56.5,-0.20989436122102884
Grasim Inds,/company/GRASIM/consolidated/,2469.4,41.3,168027.46,0.4,1844.29,-40.64,34792.85,8.85,9.3,25.17,1.7,8693.14,11.15,18.03,-0.21061103078662433
Adani Green,/company/ADANIGREEN/consolidated/,954.25,103.84,151156.3,0.0,474.0,51.53,2365.0,2.34,9.65,23.64,6.38,1710.0,34.98,36.08,-0.2263800033700048
Tata Power Co.,/company/TATAPOWER/consolidated/,379.5,31.3,121263.14,0.53,1187.54,8.15,15391.06,5.05,11.13,27.66,1.73,4403.42,15.51,74.21,-0.23316009968691567
Bajaj Holdings,/company/BAJAJHLDNG/consolidated/,12273.55,18.18,136592.34,1.07,1749.97,6.32,126.33,16.92,13.07,30.75,0.0,7486.03,31.59,18.98,-0.25
